id,college_name,university_id,affiliation,status,domain_name
13035,"UNIVERSITY COLLEGE OF APPLIED SCIENCES, EDAPPALLY, KOCHI, ERNAKULAM, KOTTAYAM",323,Constituent / University College,1,
13036,"UNIVERSITY COLLEGE OF APPLIED SCIENCES, PULLARIKUNNU, MALLOOSSERY, KOTTAYAM, KOTTAYAM",323,Constituent / University College,1,
13037,"UNIVERSITY COLLEGE OF ENGINEERING, KARIAVATTOM, THIRUVANANTHAPURAM",321,Constituent / University College,1,
13038,"UNIVERSITY COLLEGE OF ENGINEERING, MUTTOM, THODUPUZHA, IDUKKI, KOTTAYAM",323,Constituent / University College,1,
13039,"UNIVERSITY COLLEGE OF MEDICAL EDUCATION, MAIN CENTRE, ARPOOKARA, GANDHINAGAR P.O., KOTTAYAM, KOTTAYAM",323,Constituent / University College,1,
13040,"UNIVERSITY COLLEGE OF MEDICAL EDUCATION, MANIMALAKUNNU, ERNAKULAM DIST., KOTTAYAM",323,Constituent / University College,1,
13041,"UNIVERSITY COLLEGE OF MEDICAL EDUCATION, REGIONAL CENTRE, MUNICIPAL BUILDING, RAILWAY STATION ROAD, ANGAMALY, ERNAKULAM, KOTTAYAM",323,Constituent / University College,1,
13042,"UNIVERSITY COLLEGE OF MEDICAL EDUCATION, REGIONAL CENTRE, OUR TOWERS, TD ROAD, ERNAKULAM, KOTTAYAM",323,Constituent / University College,1,
13043,"UNIVERSITY COLLEGE OF MEDICAL EDUCATION, REGIONAL CENTRE, PKV BUILDINGS, PERUMANOOR P.O., THEVARA, ERNAKULAM, KOTTAYAM",323,Constituent / University College,1,
13044,"UNIVERSITY COLLEGE OF MEDICAL EDUCATION, RIMSR, RUBBER BOARD P.O., THALAPPADY, KOTTAYAM, KOTTAYAM",323,Constituent / University College,1,
13045,"UNIVERSITY COLLEGE OF NURSING, ANDOOR, MARANGATTUPALLY P.O., PALA, KOTTAYAM, KOTTAYAM",323,Constituent / University College,1,
13046,"UNIVERSITY COLLEGE OF NURSING, ANGAMALY, ERNAKULAM, KOTTAYAM",323,Constituent / University College,1,
13047,"UNIVERSITY COLLEGE OF NURSING, CHUTTIPPARA, PATHANAMTHITTA, KOTTAYAM",323,Constituent / University College,1,
13048,"UNIVERSITY COLLEGE OF NURSING, GANDHINAGAR, KOTTAYAM, KOTTAYAM",323,Constituent / University College,1,
13049,"UNIVERSITY COLLEGE OF NURSING, MANIMALAKKUNNU, ERNAKULAM, KOTTAYAM",323,Constituent / University College,1,
13050,"UNIVERSITY COLLEGE OF NURSING, NEDUMKANDAM, IDUKKI, KOTTAYAM",323,Constituent / University College,1,
13051,"UNIVERSITY COLLEGE OF NURSING, T.D. ROAD, ERNAKULAM, KOTTAYAM",323,Constituent / University College,1,
13052,"UNIVERSITY COLLEGE OF NURSING, THALAPPADY, KOTTAYAM, KOTTAYAM",323,Constituent / University College,1,
13053,"UNIVERSITY COLLEGE OF NURSING, THEVARA, ERNAKULAM, KOTTAYAM",323,Constituent / University College,1,
13054,"UNIVERSITY COLLEGE OF PHARMACY, CHERUVANDOOR, ETTUMANOOR P.O., KOTTAYAM, KOTTAYAM",323,Constituent / University College,1,
13055,"UNIVERSITY COLLEGE OF PHARMACY, THALAPPADY, KOTTAYAM, KOTTAYAM",323,Constituent / University College,1,
13056,"UNIVERSITY COLLEGE OF TEACHER EDUCATION, AMARAVATHY P.O., KUMILY 685 509, IDUKKI, KOTTAYAM",323,Constituent / University College,1,
13057,"UNIVERSITY COLLEGE OF TEACHER EDUCATION, GOVERNMENT GIRLS HIGH SCHOOL CAMPUS, VAIKOM, KOTTAYAM, KOTTAYAM",323,Constituent / University College,1,
13058,"UNIVERSITY COLLEGE OF TEACHER EDUCATION, GOVERNMENT HIGH SCHOOL CAMPUS, KUDAMALOOR, KOTTAYAM, KOTTAYAM",323,Constituent / University College,1,
