id,college_name,university_id,affiliation,status,domain_name
152,"ANJAN NARASIMHA MUNAGA KANCHARLA THUMMAPUDI INSTITUTE OF TECHNOLOGY & MANAGEMENT, BADVEL",11,Affiliated College,1,
153,ANNABATTUNI SATYANARAYANA DEGREE COLLEGE,2,Affiliated College,1,
154,ANNAMACHARYA COLLEGE OF EDUCATION,28,Affiliated College,1,
155,"ANNAMACHARYA COLLEGE OF EDUCATION, RAJAMPETA",28,Affiliated College,1,
156,"ANNAMACHARYA COLLEGE OF PHARMACY, RAJAMPET",11,Affiliated College,1,
157,"ANNAMACHARYA INSTITUTE OF TECHNOLOGY & SCIENCES,(AUTONOMOUS) NEW BOWENPALLY, RAJAMPET",11,Affiliated College,1,
158,"ANNAMACHARYA INSTITUTE OF TECHNOLOGY AND SCIENCES, CHINTHAKOMMA DINNE",11,Affiliated College,1,
159,"ANNAMACHARYA P.G. COLLEGE OF COMPUTER STUDIES, RAJAMPET",11,Affiliated College,1,
160,"ANNAMACHARYA P.G. COLLEGE OF MANAGEMENT STUDIES, RAJAMPET",11,Affiliated College,1,
161,"ANNAMCHARYA INSTITUTE OF TECHNOLOGY & SCIENCES,TIRUPATI",11,Affiliated College,1,
162,ANNAPURNA DEGREE COLLEGE,4,Affiliated College,1,
163,ANNAPURNA MEMORIAL MODERN DEGREE COLLEGE,14,Affiliated College,1,
164,ANNIEBESANT COLLEGE OF EDUCATION,2,Affiliated College,1,
165,ANU PG CAMPUS ONGOLE,2,PG Center / Off-Campus Center,1,
166,"ARAGONDA APOLLO COLLEGE OF NURSING, ARAGONDA",6,Affiliated College,1,
167,ARCHANA DEGREE COLLEGE,28,Affiliated College,1,
168,ASHA COLLEGE OF EDUCATION,2,Affiliated College,1,
169,"ASRAM COLLEGE OF MEDICAL LAB TECHNOLOGY, MALKAPURAM",6,Affiliated College,1,
170,"ASRAM COLLEGE OF NURSING, ELURU",6,Affiliated College,1,
171,"ASRR DEGREE COLLEGE GD.NELLORE, RURAL",23,Affiliated College,1,
172,ASRR DEGREE COLLEGE YADAMARRI RURAL,23,Affiliated College,1,
173,"ASRR DEGREE COLLEGE, PACHIKAPALLAM, RURAL",23,Affiliated College,1,
174,"ASWINI COLLEGE OF NURSING, GUNTUR",6,Affiliated College,1,
175,ATCHUTA DEGREE COLLEGE,4,Affiliated College,1,
176,"ATMAKUR ENGINEERING COLLEGE, ATMAKUR",11,Affiliated College,1,
177,"ATNS DEGREE COLLEGE, TIRUPATI URBAN",23,Affiliated College,1,
178,"AUDISANKARA COLLEGE OF EDUCATIONNH-5, BYPASS ROAD, ARAVINDA NAGAR,GUDUR",27,Affiliated College,1,
179,"AUDISANKARA COLLEGE OF ENGINEERING & TECHNOLOGY, GUDUR",11,Affiliated College,1,
180,"AUDISANKARA COLLEGE OF ENGINEERING FOR WOMEN, GUDUR",11,Affiliated College,1,
181,"AUDISANKARA COLLEGE OF P.G. STUDIES, GUDUR",11,Affiliated College,1,
182,"AUDISANKARA INSTITUTE OF TECHNOLOGY, GUDUR",11,Affiliated College,1,
183,"AVANTHI DEGREE COLLEGE, E.G DIST.",3,Affiliated College,1,
184,"AVANTHI DEGREE COLLEGE, VSP",4,Affiliated College,1,
185,"AVANTHI INSTITUTE OF ENGINEERING & TECHNOLOGY, TAMARAM VILLAGE, MAKAVARAPALEM MANDAL, NARSIPATNAM , PIN-531113. (CC-81)",12,Affiliated College,1,
186,"AVANTHI INSTITUTE OF ENGINEERING TECHNOLOGY, CHIRUKUPALLY(V), BHOGAPURAM(M), NEAR TAGARAPUVALASA BRIDGE, PIN- 531 162 (CC-Q7)",12,Affiliated College,1,
187,"AVANTHI INSTITUTE OF PHARMACEUTICAL SCIENCES, BHOGAPURAM(M), PIN-531162 (CC-T5)",12,Affiliated College,1,
188,"AVANTHIS RESEARCH & TECHNOLOGICAL ACADEMY, BASAVAPALEM (V), BHOGAPURAM(M), PIN-500034 (CC-HQ)",12,Affiliated College,1,
189,"AVANTHIS ST.THERESSA INSTITUTE OF ENGINEERING & TECHNOLOGY, GARBHAM ROAD, GARIVIDI VILLAGE, GARIVIDI MANDAL, PIN -535101 (CC 99)",12,Affiliated College,1,
190,"AVM COLLEGE OF PHYSIOTHERAPY, KADAPA",6,Affiliated College,1,
191,"AVR & SVR COLLEGE OF ENGINEERING & TECHNOLOGY, NANDYAL",11,Affiliated College,1,
192,"AVR & SVR COLLEGE OF ENGINEERING COLLEGE, NANNUR, KURNOOL",11,Affiliated College,1,
193,AVS COLLEGE OF ENGINEERING & TECHNOLOGY,11,Affiliated College,1,
194,AVUTHU AMMI REDDY AND BONTHU MALLA REDDY,14,Affiliated College,1,
195,"AYUSHMAN NURSING COLLEGE, KURNOOL",6,Affiliated College,1,
196,AYYAVAR REDDY MEMORIAL DEGREE COLLEGE,28,Affiliated College,1,
197,"AZIZIA COLLEGE OF EDUCATION , ADONI",17,Affiliated College,1,
198,"B A & K R COLLEGE OF PHARMACY, NH-5, DODDAVARAPPADU (V), ONGOLE- 523002(CC-PG)",12,Affiliated College,1,
