id,college_name,university_id,affiliation,status,domain_name
141,"Andhra Kesari Degree College, Visakhapatnam",4,Affiliated College,1,
142,"Andhra Kesari Vidya Kendram Degree College, Guntur",2,Affiliated College,1,
143,"Andhra Loyola College, Machhlipattanam",14,Affiliated College,1,
144,"Andhra Loyola Institute Of Engineering & Technology, Polytechnic Post Office",12,Affiliated College,1,
145,"Andhra Medical College (B.Sc Mlt), Visakhapatnam",6,Affiliated College,1,
146,"Andhra Medical College, Visakhapatnam",6,Affiliated College,1,
147,"Andhra Muslim College, Guntur",2,Affiliated College,1,
148,"Andhra Muslim College Of Education, Guntur",2,Affiliated College,1,
149,"Andhra Womens Sanskrit College, East Godawari",3,Affiliated College,1,
150,"Anil Neerukonda Institute Of Technology & Sciences, Visakhapatnam",4,Affiliated College,1,
151,"Anitha Venkateswara College Of Eduation, Guntur",2,Affiliated College,1,
152,"Anjan Narasimha Munaga Kancharla Thummapudi Institute Of Technology & Management, Badvel",11,Affiliated College,1,
153,"Annabattuni Satyanarayana Degree College, Guntur",2,Affiliated College,1,
154,"Annamacharya College Of Education, Kadapa",28,Affiliated College,1,
155,"Annamacharya College Of Education, Rajampeta",28,Affiliated College,1,
156,"Annamacharya College Of Pharmacy, Rajampet",11,Affiliated College,1,
157,"Annamacharya Institute Of Technology & Sciences,(Autonomous) New Bowenpally",11,Affiliated College,1,
158,"Annamacharya Institute Of Technology And Sciences, Chinthakomma Dinne",11,Affiliated College,1,
159,"Annamacharya P.G. College Of Computer Studies, Rajampet",11,Affiliated College,1,
160,"Annamacharya P.G. College Of Management Studies, Rajampet",11,Affiliated College,1,
161,"Annamcharya Institute Of Technology & Sciences,Tirupati",11,Affiliated College,1,
162,"Annapurna Degree College, Visakhapatnam",4,Affiliated College,1,
163,"Annapurna Memorial Modern Degree College, Machhlipattanam",14,Affiliated College,1,
164,"Anniebesant College Of Education, Guntur",2,Affiliated College,1,
165,"Anu Pg Campus Ongole, Guntur",2,PG Center / Off-Campus Center,1,
166,"Aragonda Apollo College Of Nursing, Aragonda",6,Affiliated College,1,
167,"Archana Degree College, Kadapa",28,Affiliated College,1,
168,"Asha College Of Education, Guntur",2,Affiliated College,1,
169,"Asram College Of Medical Lab Technology, Malkapuram",6,Affiliated College,1,
170,"Asram College Of Nursing, Eluru",6,Affiliated College,1,
171,"Asrr Degree College Gd.Nellore, Rural",23,Affiliated College,1,
172,"Asrr Degree College Yadamarri Rural, Tirupathy",23,Affiliated College,1,
173,"Asrr Degree College, Pachikapallam",23,Affiliated College,1,
174,"Aswini College Of Nursing, Guntur",6,Affiliated College,1,
175,"Atchuta Degree College, Visakhapatnam",4,Affiliated College,1,
176,"Atmakur Engineering College, Atmakur",11,Affiliated College,1,
177,"Atns Degree College, Tirupati Urban",23,Affiliated College,1,
178,"Audisankara College Of Educationnh-5, Bypass Road",27,Affiliated College,1,
179,"Audisankara College Of Engineering & Technology, Gudur",11,Affiliated College,1,
180,"Audisankara College Of Engineering For Women, Gudur",11,Affiliated College,1,
181,"Audisankara College Of P.G. Studies, Gudur",11,Affiliated College,1,
182,"Audisankara Institute Of Technology, Gudur",11,Affiliated College,1,
183,"Avanthi Degree College, E.G Dist.",3,Affiliated College,1,
184,"Avanthi Degree College, Vsp",4,Affiliated College,1,
185,"Avanthi Institute Of Engineering & Technology, Tamaram Village",12,Affiliated College,1,
186,"Avanthi Institute Of Engineering Technology, Chirukupally(V)",12,Affiliated College,1,
187,"Avanthi Institute Of Pharmaceutical Sciences, Bhogapuram(M)",12,Affiliated College,1,
188,"Avanthis Research & Technological Academy, Basavapalem (V)",12,Affiliated College,1,
189,"Avanthis St.Theressa Institute Of Engineering & Technology, Garbham Road",12,Affiliated College,1,
190,"Avm College Of Physiotherapy, Kadapa",6,Affiliated College,1,
191,"Avr & Svr College Of Engineering & Technology, Nandyal",11,Affiliated College,1,
192,"Avr & Svr College Of Engineering College, Nannur",11,Affiliated College,1,
193,"Avs College Of Engineering & Technology, Anantapur",11,Affiliated College,1,
194,"Avuthu Ammi Reddy And Bonthu Malla Reddy, Machhlipattanam",14,Affiliated College,1,
195,"Ayushman Nursing College, Kurnool",6,Affiliated College,1,
196,"Ayyavar Reddy Memorial Degree College, Kadapa",28,Affiliated College,1,
197,"Azizia College Of Education, Adoni",17,Affiliated College,1,
198,"B A & K R College Of Pharmacy, Nh",12,Affiliated College,1,
199,"B.A & K.R College Of Education, Guntur",2,Affiliated College,1,
200,"B.A & K.R Degree College, Guntur",2,Affiliated College,1,
201,"B.B.H Degree College, Guntur",2,Affiliated College,1,
202,"B.G Degree College, Sattenapalli",2,Affiliated College,1,
203,"B.G.B.S. College For Women, East Godawari",3,Affiliated College,1,
204,"B.H.H Degree College For Women, Guntur",2,Affiliated College,1,
205,"B.J.T.Degree College, Machhlipattanam",14,Affiliated College,1,
206,"B.M.Degree College, P.Dornala",2,Affiliated College,1,
207,"B.R College Of Education, Guntur",2,Affiliated College,1,
208,"B.R.College Of Education, Narsipatnam",4,Affiliated College,1,
209,"B.R.M.B.Ed. College Of Education, Chittoor",23,Affiliated College,1,
210,"B.R.R. & G.K.R. Chambers Degree College, Visakhapatnam",4,Affiliated College,1,
211,"B.S. & J.R. Degree College, Etcherla",7,Affiliated College,1,
212,"B.S.R Degree And Pg College, Thatithopu",23,Affiliated College,1,
213,"B.S.R. Degree College, Visakhapatnam",4,Affiliated College,1,
214,"B.S.S.B College, Guntur",2,Affiliated College,1,
215,"B.T. College, Madanapalli",23,Affiliated College,1,
216,"B.T.College, Madanapalle Urban (Permanent Affiliation)",23,Affiliated College,1,
217,"B.V.K.Degree College, Visakhapatnam",4,Affiliated College,1,
218,"B.V.S.P.M Degree College, Guntur",2,Affiliated College,1,
219,"Ba&Kr Mca&Mba College, Nh",12,Affiliated College,1,
220,"Baba Institute Of Technology & Science, P.M. Palem",12,Affiliated College,1,
221,"Badagala Sankara Rao Degree College, Etcherla",7,Affiliated College,1,
222,"Badari Institute Of Technology & Science For Women, Sarpavaram",12,Affiliated College,1,
223,"Balaji College Of Education, Kadapa",28,Affiliated College,1,
224,"Balaji College Of Nursing, Anantapur",6,Affiliated College,1,
225,"Balaji College Of Nursing, Tirupati",6,Affiliated College,1,
226,"Balaji College Of Pharmacy, Anantapur",11,Affiliated College,1,
227,"Balaji Degree College, Guntur",2,Affiliated College,1,
228,"Balaji Institute Of I.T & Management, Anantapur",11,Affiliated College,1,
229,"Balaji Institute Of Technology & Science, Proddutur",11,Affiliated College,1,
230,"Balasu Rama Rao Degree College, Visakhapatnam",4,Affiliated College,1,
231,"Balayesu Degree College, Hindupur",19,Affiliated College,1,
232,"Bapatla College Of Arts & Science, Guntur",2,Affiliated College,1,
233,"Bapatla College Of Pharmacy, Bapatla",12,Affiliated College,1,
234,"Bapatla Engineering College, Guntur",2,Affiliated College,1,
235,"Bapatla Womens Engineering College, Guntur",2,Affiliated College,1,
236,"Bapuji College Of Education, Guntur",2,Affiliated College,1,
237,"Basi Reddy Memorial Degree College, Nandikotkur",17,Affiliated College,1,
238,"Bellamkonda Institute Of Technology & Science, Kambhalapadu",12,Affiliated College,1,
239,"Benaiah Christian College Of Education, Visakhapatnam",4,Affiliated College,1,
240,"Benaiah Institute Of Technology & Science, Christ Vidya Nagar",12,Affiliated College,1,
241,"Berith Degree College, Visakhapatnam",4,Affiliated College,1,
242,"Best College Of Education, Visakhapatnam",4,Affiliated College,1,
243,"Best Group Of Institutions, K.N.Road",12,Affiliated College,1,
244,"Best Institute Of Professional Studies, K.N.Road",12,Affiliated College,1,
245,"Bh.S.R. & V.L.M. Degree College, Visakhapatnam",4,Affiliated College,1,
246,"Bharath College Of Education, Kadapa",28,Affiliated College,1,
