id,university_name,university_type,website,country_id
605,"Thiruvalluvar Univeristy, Vellore",State Public University,WWW.thiruvalluvaruniversity.ac.in,99
606,"Vel Tech Rangarajan Dr. Sagunthala R & D Institute Of Science & Technology, Chennai",Deemed University-Private,http://www.veltechuniv.edu.in/,99
607,"Vellore Institute Of Technology, Vellore",Deemed University-Private,www.vit.ac.in,99
608,"Vels Institute Of Science, Technology And Advanced Studies, Chennai",Deemed University-Private,www.velsuniv.ac.in,99
609,"Vinayaka Missions Research Foundation, Salem",Deemed University-Private,www.vinaykamission.com,99
610,"Acharya Ng Ranga Agricultural University, Hyderabad",State Public University,www.angrau.net,99
611,"Dr. B. R. Ambedkar Open University, Hyderabad",State Open University,www.braou.ac.in,99
612,"Icfai Foundation For Higher Education, Hyderabad",Deemed University-Private,http://www.ifheindia.org,99
613,"Indian Institute Of Technology, Hyderabad",Institute of National Importance,www.iith.ac.in,99
614,"International Institute Of Information Technology, Hyderabad",Deemed University-Private,www.iiit.ac.in,99
615,"Jawaharlal Nehru Technological University, Hyderabad",State Public University,www.jntuh.ac.in,99
616,Jawarharlal Nehru Architecture And Fine Art University Hyderabad,State Public University,www.jnafau.ac.in,99
617,"Kakatiya University, Warangal",State Public University,www.kakatiya.ac.in,99
618,"Mahatma Gandhi University, Nalgonda",State Public University,www.mguniversity.ac.in,99
619,"Maulana Azad National Urdu University, Hyderabad",Central University,manuu.ac.in,99
620,National Academy Of Legal Studies & Research (Nalsr) University Hyderabad,State Public University,www.nalsar.ac.in,99
621,"National Institute Of Technology, Warangal",Institute of National Importance,nitw.ac.in,99
622,"Nizam Institute Of Medical Sciences, Hyderabad",Institute under State Legislature Act,,99
623,"Osmania University, Hyderabad",State Public University,http://www.osmania.ac.in,99
624,"Palamuru University, Mahabubnagar",State Public University,www.palamuruuniversity.ac.in,99
625,"Potti Sri Ramulu Telugu University, Hyderabad",State Public University,teluguuniversity.ac.in,99
626,"Satavahana University, Karimnagar",State Public University,www.satavahana.ac.in,99
627,"Telangana University, Nizamabad",State Public University,www.telanganauniversity.ac.in,99
628,"The English And Foreign Languages University, Hyderabad",Central University,www.efluniversity.ac.in,99
629,"University Of Hyderabad, Hyderabad",Central University,www.uohyd.ernet.in,99
630,"National Institute Of Technology, Agartala",Institute of National Importance,www.nitagartala.in,99
631,"The Institute Of Chartered Financial Analysts Of India University, Agartala",State Private University,www.iutripura.edu.in,99
632,"Tripura University, Agartala",Central University,www.tripurauniv.in,99
633,"Aligarh Muslim University, Aligarh",Central University,www.amu.ac.in,99
634,"Amity University, Gautam Budh Nagar",State Private University,http://amity.edu/,99
635,"Babasheb Bhimrao Ambedkar University, Lucknow",Central University,www.bbau.ac.in,99
636,"Babu Banarsi Das University, Lucknow",State Private University,www.bbdu.ac.in,99
637,"Banaras Hindu University, Banaras",Central University,www.bhu.ac.in,99
638,"Bhatkhande Music Institute, Lucknow",Deemed University-Government Aided,www.bhatkhandemusic.edu.in,99
639,"Bundelkhand University, Jhansi",State Public University,www.bujhansi.org,99
640,"Central Institute Of Higher Tibetan Studies, Varanasi",Deemed University-Government,www.cuts.ac.in,99
641,"Chandra Shekhar Azad University Of Agriculture & Technology, Kanpur",State Public University,www.csauk.ac.in,99
642,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur",State Public University,www.kanpuruniversity.org,99
643,"Choudhary Charan Singh University, Meerut",State Public University,www.ccsuniversity.ac.in,99
644,"Dayalbagh Educational Institute, Agra",Deemed University-Government Aided,www.dei.ac.in,99
645,"Deen Dayal Upadhyay Gorakhpur University, Gorakhpur",State Public University,www.ddugu.edu.in,99
646,"Dr. B. R. Ambedkar University, Agra",State Public University,WWW.DBRAU.AC.IN,99
647,"Dr. Ram Manohar Lohia Awadh University, Faizabad",State Public University,www.rmlau.ac.in,99
648,"Dr. Ram Manohar Lohiya National Law University, Lucknow",State Public University,www.rmlnlu.ac.in,99
649,"G.L.A University, Mathura",State Private University,www.gla.ac.in,99
650,Galgotias University,State Private University,WWW.GALGOTIASUNIVERSITY.EDU.IN,99
651,"Gautam Buddha University, Greater Noida, Gautam Budh Nagar",State Public University,www.gbu.ac.in,99
652,Glocal University,State Private University,,99
653,"Iftm University, Moradabad",State Private University,www.iftmuniversity.ac.in,99
654,"Indian Institute Of Information Technology, Allahabad",Deemed University-Government,www.iiita.ac.in,99
655,"Indian Institute Of Technology (Banaras Hindu University), Varanasi",Institute of National Importance,www.iitbhu.ac.in,99
656,"Indian Institute Of Technology, Kanpur",Institute of National Importance,www.iitk.ac.in,99
657,"Indian Veterinary Research Institute, Izatnagar",Deemed University-Government,www.ivri.nic.in,99
658,"Integral University, Lucknow",State Private University,www.integraluniversity.ac.in,99
659,"Invertis University, Bareily",State Private University,www.invertisuniversity.ac.in,99
660,Jagadguru Rambhadracharya Handicapped University,State Private University,www.jrhu.com,99
661,"Jaypee Institute Of Information Technology, Noida",Deemed University-Private,www.jiit.ac.in,99
662,Khwaja Moinuddin Chishti Urdu Arabi Farsi University,State Public University,www.uafuluckNo(0)w.ac.in,99
663,King George Medical University,State Public University,www.kgmcindia.edu,99
664,"Lucknow University, Lucknow",State Public University,www.lkouniv.ac.in,99
665,"Madan Mohan Malaviya University Of Technology,",State Public University,,99
666,Mahamaya Technical University,State Public University,www.mtu.ac.in,99
667,"Mahatama Jyotiba Phule Rohikhand University, Bareilly",State Public University,www.mjpru.ac.in,99
668,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi",State Public University,www.mgkvp.ac.in,99
